Q123758828|DJ Sonia|1998-10-31|PROMOTE|Modeling/entertainment|en-wiki lead: "Sonia Kayitesi, commonly known as Dj Sonia born on  (1998-10-31) October 31, 1998, is a Rwandan disc jockey, business woman, event planner, model and fashionista." - RW disc jockey, businesswoman, event planner and model (lead lists model); DOB matches Wikidata|https://en.wikipedia.org/wiki/DJ_Sonia
Q123865516|Eve Gilles|2003-07-09|PROMOTE|Beauty pageant|en-wiki lead: "Eve Gilles (born 9 July 2003) is a French beauty pageant titleholder who won Miss France 2024. She had previously won Miss Nord-Pas-de-Calais 2023 and is the fourth woman from Nord-Pas-de-Calais to win Miss France." - FR pageant titleholder, Miss France 2024; DOB matches Wikidata|https://en.wikipedia.org/wiki/Eve_Gilles
Q123920992|Clara|1999-10-25|REVIEW|scope-ambiguous|en-wiki lead: "Clara Soccini (born 25 October 1999), known professionally by the mononym Clara, is an Italian singer, songwriter, and actress. After gaining recognition for her role as Crazy J in the teen drama television series The Sea Beyond (..." - IT singer, songwriter and actress; no modeling/creator activity in lead; adult (DOB matches Wikidata)|https://en.wikipedia.org/wiki/Clara_(singer)
Q123975225|Drita Ziri|2005-05-26|PROMOTE|Beauty pageant|en-wiki lead: "Drita Ziri (born 26 May 2005) is an Albanian beauty pageant titleholder who won Miss Earth 2023. She is the first Albanian to win the Miss Earth title and to win one of the Big Four beauty pageants." - AL pageant titleholder, Miss Earth 2023; DOB matches Wikidata|https://en.wikipedia.org/wiki/Drita_Ziri
Q12400443|Sheyla Fariña|1986-11-12|REVIEW|scope-ambiguous|en-wiki lead: "Sheyla Fariña García (born 12 November 1986) is a Spanish actress and voice actress, known for playing the leading role of Manuela Manzano / Carmen Blasco in the soap opera Acacias 38." - ES actress and voice actress; no modeling/creator activity in lead; adult (DOB matches Wikidata)|https://en.wikipedia.org/wiki/Sheyla_Fari%C3%B1a
Q124031191|Siiickbrain|1995-11-26|PROMOTE|Modeling/music|en-wiki lead: "Caroline Miner Smith (born November 26, 1995), known professionally as Siiickbrain, is an American singer, songwriter, and model. She began independently releasing music in 2020 and her debut studio album, My Masochistic Mind, was..." - US singer-songwriter and model; DOB matches Wikidata|https://en.wikipedia.org/wiki/Siiickbrain
Q124047366|Juanita Urrea|2000-09-13|PROMOTE|Beauty pageant/modeling|en-wiki lead: "Juanita Urrea Posada (born September 13, 2000) is a Colombian industrial engineer, model and beauty pageant titleholder who was the 3rd Runner-Up of Miss Colombia 2022. She represented Colombia at Miss International 2024." - CO industrial engineer, model and pageant titleholder (Miss Colombia 2022 3rd RU); DOB matches Wikidata|https://en.wikipedia.org/wiki/Juanita_Urrea
Q124097126|Rainy|2008-06-28|PROMOTE|Modeling/music|en-wiki lead: "Ruca Sharon Pike (パイク琉華シャロン, Paiku Ruka Sharon; born June 28, 2008), known professionally as Rainy (stylized as Rainy。), is a Japanese-Australian former model and singer-songwriter who debuted on 5 May 2022 and is currently signed..." - JP-AU former model and singer-songwriter; DOB matches Wikidata; age 18 as of 2026-09-06 (turned 18 on 28 June 2026)|https://en.wikipedia.org/wiki/Rainy_(singer)
Q124125043|Katie Clarkson-Hill|1990-09-28|REVIEW|AGE_PARTIAL+scope-ambiguous|en-wiki lead: "Katie Clarkson-Hill (born Katie Clarke) is an English actress." - EN actress; en-wiki page has no birth date (no infobox); Wikidata DOB 1990-09-28 unconfirmed on page; no modeling/creator activity in lead|https://en.wikipedia.org/wiki/Katie_Clarkson-Hill
Q124274980|Ella-Mae Rayner|1995-04-24|PROMOTE|Fitness model/TV|en-wiki lead: "Ella-Mae Rayner (born 24 April 1995) is an English former elite-level gymnast, fitness model and television personality, known for appearing as Comet in BBC's sports game show Gladiators." - EN former elite gymnast, fitness model and TV personality (Gladiators); DOB matches Wikidata|https://en.wikipedia.org/wiki/Ella-Mae_Rayner
