# Session 13 pass 4 — discovery pool D: female (Q6581072) volleyball players (P106=Q15117302) OR beach volleyball
# players (P106=Q17361156), date of birth 2000-01-01 .. 2002-12-31 (so every candidate is 18+ as of 2026-09-06),
# holding at least one public handle among Instagram (P2003) / X (P2002) / TikTok (P7085). No league, country or
# team restriction: this is the INTERNATIONAL band (European, Asian, African and American leagues) that passes 1-3
# did not enumerate pass-by-pass.
# Transcription provenance (important): the first, unordered fetch of this query
# (data/research/urls/poolD1.url) was returned by the page fetcher in two chunks that re-rendered overlapping row
# sets, and comparison showed rows present in NEITHER chunk rendering (e.g. Q112898157 Key Alves, Q116003263 Logan
# Eggleston, Q109353748 Amandha Sylves, Q113127654 Mhicaela Belen, Q115869636 Nathalie Scholz, Q116135233 Tereza
# Hrušecká, Q116450683 Zoe Jarvis, Q117225162 Anamarija Galić, Q133300655 Lucia Herdová). That draft was discarded.
# The file below is transcribed from the deterministic paged re-run, ORDER BY ?qid, LIMIT 100:
#   data/research/urls/poolD_ord0.url   -> OFFSET 0,   100 rows, single complete chunk
#   data/research/urls/poolD_ord100.url -> OFFSET 100,  90 rows, single complete chunk
#   OFFSET 200 page returns HTTP 500 / no further rows, so the band is exhausted at 190 rows.
# Rows appear below in fetched order, verbatim; the only edit is removal of markdown backslash escapes (\_ -> _).
# Multi-row quirks are kept verbatim and are NOT silently merged:
#   Q105704380 Aki Momii        - two citizenship rows (Japan / Peru)
#   Q115869636 Nathalie Scholz  - two different Instagram handles (nathalie.s02 / volley.nat)
#   Q130170463 Athina Dimitriadis - two citizenship rows (Greece / Germany)
#   Q135219521 Marija Vrban     - two different Instagram handles (mvrban9 / marija_vrban_)
# Suspect values flagged for review, recorded exactly as returned:
#   Q97901120 Minami Nishimura  - P2002 (X) value "PH3H6ggKTnWGLYZ" has the shape of a YouTube channel ID
#   Q109596239 Madoka Kashimura - P2002 (X) value "mnynMmE565SNojT" has the shape of a YouTube channel ID
# columns: qid|name|dob|instagram|x|tiktok|country
Q104217167|İlkin Aydın|2000-01-05|ilkinaydn|||Turkey
Q104243249|Annick Meijers|2000-03-23|annickmeijers_|||Kingdom of the Netherlands
Q104725135|Simona Dammer|2002-08-25|simona_dammer|||Germany
Q104836815|Hanna-Marie Schieder|2001-03-21|marieschieder|||Germany
Q105201948|Raïsa Schoon|2001-10-03|raisaschoon|||Kingdom of the Netherlands
Q105395414|Juli Klause|2002-10-10|juli.klause|||Germany
Q105395925|Noemi Laureen Oiwoh|2001-05-28|noemioiwoh|||Austria
Q105404030|Lydia Stemmler|2001-07-20|lydia_stemmler|||Germany
Q105704380|Aki Momii|2000-10-07|momii_aki|||Japan
Q105704380|Aki Momii|2000-10-07|momii_aki|||Peru
Q105705640|Park Hye-min|2000-11-08|p_hyemin_|||South Korea
Q105706252|Lee Won-jeong|2000-01-12|lee_won_jeong|||South Korea
Q105706337|Lee Hyun|2001-10-04|dl_gus_|||South Korea
Q106366787|Hanna Davyskiba|2000-02-08|anna_davyskiba|||Belarus
Q106625685|Lilli Albrecht|2002-01-09|albrecht.lilli|||Germany
Q106625770|Aliza Baumgart|2002-04-22|_alschi_|||Germany
Q106634972|Lilian Engemann|2000-03-12|lili_e3|||Germany
Q106635413|Chiara Fach|2000-07-01|chiara_fach|||Germany
Q106762426|Anna Schupritt|2001-02-15|anna_schupritt|||Germany
Q106776104|Rebecca Piva|2001-05-01|rebepiva|||Italy
Q107424120|Jeong Ji-yun|2001-01-01|ji__yun__|||South Korea
Q108045390|Darya Vakulka|2002-06-07|vvv_dariya|||Belarus
Q108109787|Kotomi Ōsaki|2000-08-23|k_osk23|||Japan
Q108110401|Yoshino Nishikawa|2002-09-10|_910ny|||Japan
Q108110570|Hinata Shigihara|2001-02-25|___h.i.n.a.t.a.___|||Japan
Q108324192|Hanna Hellvig|2000-02-03|hannahellvig|||Sweden
Q108749290|Amélie Rotar|2000-10-24|amelie_rotar|||France
Q108771081|Juliette Gelin|2001-11-02|||juju_gelin|France
Q108776654|Natsuki Suda|2002-08-21|hel_lo0821natsuki|||Japan
Q108995826|Léïa Ratahiry|2002-09-27|leia_rthry|||France
Q109232107|Valentina Gottardi|2002-11-19|valentinagottardi_|||Italy
Q109353748|Amandha Sylves|2000-12-29|amandhasylves|||France
Q109596239|Madoka Kashimura|2002-11-06|ksmr.mdk1106|mnynMmE565SNojT||Japan
Q110272668|Vealeta Lavrushko|2000-07-31|veoletta_|||Belarus
Q110457024|Mariana Brambilla|2000-03-19|mariibrambilla|mariibrambilla||Brazil
Q111460851|Mikala Mogensen|2001-10-03|mikalamogensen|||Kingdom of Denmark
Q111696564|Andréa Mimosette Moussol|2000-01-07|andreamimosette|||Cameroon
Q111937212|Jaden Whitmarsh|2000-05-23|jadenwhitmarsh|jaden_whitmarsh||United States
Q112112713|Mika Grbavica|2001-12-08|mikaaacccc|||Croatia
Q112580517|Leonie Amann|2000-04-02|leonieamann|||Germany
Q112898157|Key Alves|2000-01-08|key.alvees|key_alvees||Brazil
Q113126592|Karine Schossler|2000-04-13|karine_schossler|||Brazil
Q113127654|Mhicaela Belen|2002-01-01|mhicaelabelen|||
Q113372093|Yoshino Sato|2001-11-12|yoshino__sato112|||Japan
Q113555859|Alexa Hendricks|2001-02-09|achendricks|ahendricks7|achendricks|United States
Q114457274|Pauline Martin|2002-09-04|paulinemartinx|||Belgium
Q115410648|Laura Pascua|2002-12-21|laura.pascua4|||Colombia
Q115869636|Nathalie Scholz|2002-10-13|nathalie.s02|||Germany
Q115869636|Nathalie Scholz|2002-10-13|volley.nat|||Germany
Q115934289|Kseniya Liabiodkina|2002-02-18|lbdkn.5|||Belarus
Q115941084|Karolína Fričová|2000-04-29|karolina_fri|||Slovakia
Q115942706|Anastasiya Shahun|2002-11-01|ana.stasiya_02|||Belarus
Q116003263|Logan Eggleston|2000-11-13|loganeggleston_|||United States
Q116135233|Tereza Hrušecká|2002-07-02|tereza_hrusecka|||Slovakia
Q116450683|Zoe Jarvis|2000-09-29|zoejarvis|||United States
Q117225162|Anamarija Galić|2001-01-07|anamarija_galiic|||Austria
Q117747786|Ainė Raupelytė|2000-07-28|aineraupelyte|||Lithuania
Q117795246|Runa Adachi|2000-11-03|runa11.3|||Japan
Q119360226|Thea Gagate|2000-07-26|gagatethea|||
Q119566411|Aslı Tecimer|2000-05-12|asliitecimer|||Turkey
Q120041295|Marie Hänle|2002-09-08|marie.haenle|||Germany
Q122874902|Kacey Jost|2000-02-15|kcjost|||Canada
