# Session 13 pass 4 — discovery pool F: the X-only / TikTok-only cohort.
# Female (Q6581072), date of birth 1990-01-01 .. 2005-12-31 (all 18+ as of 2026-09-06), occupation volleyball
# player (Q15117302) or beach volleyball player (Q17361156), with FILTER NOT EXISTS on Instagram (P2003) — so this
# is exactly the population the Instagram-centric discovery of passes 1-2 could not return, plus the X/TikTok-only
# players outside the US-college scope of pass 3.
# Query: data/research/urls/poolF_ord0.url (SELECT DISTINCT ... ORDER BY ?qid LIMIT 100 OFFSET 0), executed
# 2026-09-06; the single returned page held 69 rows (fewer than LIMIT), so the population is exhausted.
# Transcribed verbatim; only markdown backslash escapes removed (\_ -> _). The instagram column is empty for every
# row BY CONSTRUCTION (the query excludes items that record one).
# Suspect value flagged for review, recorded exactly as returned and never "corrected":
#   Q110272655 Lizaveta Bahayeva - P2002 (X) value "izi7dsluwmz9len"
#   Q97901120  Minami Nishimura   - P2002 (X) value "PH3H6ggKTnWGLYZ"
#   (both are 15 characters, which is within the X handle limit, but their shape is atypical for a chosen handle;
#    they are recorded as returned and the entries carry a SUSPECT_HANDLE_SHAPE flag rather than being guessed at.)
# columns: qid|name|dob|instagram|x|tiktok|country
Q108771081|Juliette Gelin|2001-11-02|||juju_gelin|France
Q109595794|Rimi Kaneda|1998-10-06||kiiin_rimiii||Japan
Q110272655|Lizaveta Bahayeva|2003-09-03||izi7dsluwmz9len||Belarus
Q111436853|Lisa Jeanpierre|1999-07-28||lisou_jp||France
Q11371795|Azusa Futami|1992-05-15||FutamiAzusa||Japan
Q11562632|Akari Watanabe|1992-09-18||akaringu0918||Japan
Q11562701|Aya Watanabe|1991-04-23||aya042311||Japan
Q11564498|Sayaka Mizoe|1990-07-16||sayakaj||Japan
Q11624744|Natsumi Fujita|1991-08-05||na85z6||Japan
Q134029261|Jimena Fernández Gayoso|2001-09-07|||jimmygayoso2|Spain
Q13429212|Yūka Imamura|1993-09-02||yuuucaDX||Japan
Q138983508|Haley Templeton|1996-01-02||templetonhaley||United States
Q15091909|Asuka Nomura|1994-07-23||ask_0723||Japan
Q16729605|Jennifer Hamson|1992-01-23||JenHamson||United States
Q16735442|Keith Meneses|1991-09-09||KeithMeneses||Peru
Q17280076|TeTori Dixon|1992-08-04||ToriDixon06||United States
Q17303572|Carly Wopat|1992-10-13||CarlyWopat||United States
