Q11536025|Mina Kuryu|UNKNOWN|REVIEW|AGE_PARTIAL+scope-ambiguous|ja-wiki lead: 「栗生 みな（くりゅう みな、8月16日 - ）は、長野県出身の女優、歌手である。」 - JP stage actress and singer (Nagano); the lead gives only the month and day of birth (no year) and documents no modeling activity; Wikidata year unconfirmed on the page|https://ja.wikipedia.org/wiki/%E6%A0%97%E7%94%9F%E3%81%BF%E3%81%AA
Q11536385|Yayoi Nemoto|1992-02-24|PROMOTE|Modeling|ja-wiki lead: 「根本 弥生（ねもと やよい、1992年2月24日 - ）は、日本のギャルファッションモデル。」 - JP gyaru fashion model; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%A0%B9%E6%9C%AC%E5%BC%A5%E7%94%9F
Q11537647|Kikka (桔花, model)|1985-12-20|PROMOTE|Modeling/acting|ja-wiki lead: 「桔花（きっか、 1985年12月20日 - ）は、日本の女性ファッションモデル、女優。」 - JP fashion model and actress (Guns Management), active under the mononym 桔花 Kikka; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%A1%94%E8%8A%B1
Q11537870|Saki Sakurai|1991-03-11|PROMOTE|Gravure modeling/swimwear/music|ja-wiki lead: 「桜井 紗稀（さくらい さき、1991年〈平成3年〉3月11日 - ）は、千葉県出身のライブアイドル、グラビアアイドル。」 - JP live idol and gravure idol (Chiba); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%A1%9C%E4%BA%95%E7%B4%97%E7%A8%80
Q11538252|Ako Masuki|1987-04-16|REVIEW|scope-ambiguous|ja-wiki lead: 「あこ（1987年4月16日 - ）は、日本の女優である。」 - JP actress (former stage names Ako Masuki / Ako Masuki 桝木亜子); no modeling / creator activity documented in the lead; adult (DOB matches Wikidata)|https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%93
Q11539214|Mai Morishita|1997-06-30|PROMOTE|Gravure modeling/swimwear|ja-wiki lead: 「森下 真依（もりした まい、1997年（平成9年）6月30日 - ）は、日本のグラビアアイドル。」 - JP gravure idol (Tokyo); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%A3%AE%E4%B8%8B%E7%9C%9F%E4%BE%9D
Q11539715|Maya Mori|1985-11-23|PROMOTE|Modeling|ja-wiki lead: 「森 摩耶（もり まや、1985年11月23日 - ）は、日本のギャルファッションモデル。」 - JP gyaru fashion model; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%A3%AE%E6%91%A9%E8%80%B6
Q11540371|Katsuki Mori|1988-12-27|PROMOTE|Modeling/acting|ja-wiki lead: 「森 郁月（もり かつき、1988年12月27日 - ）は、日本のファッションモデル、俳優である。」 - JP fashion model and actor (Fujiidera, Osaka); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%A3%AE%E9%83%81%E6%9C%88
Q11541155|Selen Kusunoki|1991-10-12|PROMOTE|Modeling/TV/music/acting|ja-wiki lead: 「楠 世蓮（くすのき せれん、1991年10月12日 - ）は、日本のタレント、モデル、歌手、女優である。」 - JP tarento, model, singer and actress, also active as SELEN; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%A5%A0%E4%B8%96%E8%93%AE
Q11541727|Miku Sakakibara|1995-04-26|PROMOTE|Modeling/acting|ja-wiki lead: 「榊原 美紅（さかきばら みく、1995年4月26日 - ）は、日本の女性ファッションモデル、女優。」 - JP fashion model and actress (Tokyo); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%A6%8A%E5%8E%9F%E7%BE%8E%E7%B4%85
Q11544103|Ai Hashizume|1999-01-17|PROMOTE|Modeling|ja-wiki lead: 「橋爪 愛（はしづめ あい、1999年1月17日 - ）は、日本のファッションモデル。」 - JP fashion model (Miyagi); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%A9%8B%E7%88%AA%E6%84%9B
Q11544338|Chieyo Tachibana|1988-04-29|PROMOTE|Modeling|ja-wiki lead: 「橘 知衣代（たちばな ちえよ、1988年4月29日 - ）は、日本のモデル、元タレント。」 - JP model and former tarento (Osaka); article title 橘ちえよ, lead name 橘知衣代; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%A9%98%E3%81%A1%E3%81%88%E3%82%88
Q11546014|Shiho Takechi|1985-05-31|PROMOTE|Modeling/acting|ja-wiki lead: 「武智 志穂（たけち しほ、1985年5月31日 - ）は、日本・大阪府出身のモデル、女優。」 - JP model and actress (Osaka; Asobisystem); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%AD%A6%E6%99%BA%E5%BF%97%E7%A9%82
Q11546193|Arisa Takeda|1996-11-06|PROMOTE|Gravure modeling/swimwear/music/TV|ja-wiki lead: 「arisa（ありさ、1996年〈平成8年〉11月6日 -  ）は、日本のフルート奏者・モデル・タレント・グラビアモデル。」 - JP flautist, model, tarento and gravure model active under the mononym arisa (article 武田有彩; name alias noted); gravure idol = swimsuit / magazine model (objective Japanese occupational category); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%AD%A6%E7%94%B0%E6%9C%89%E5%BD%A9
Q11546260|Shizuka Takeda|1988-05-17|PROMOTE|Modeling|ja-wiki lead: 「武田 静加（たけだ しずか、1988年5月17日 - ）は、日本のファッションモデル。」 - JP fashion model known from the gyaru magazine Happie nuts; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%AD%A6%E7%94%B0%E9%9D%99%E5%8A%A0
Q11546537|Shizuka Muto|1987-02-04|PROMOTE|Modeling/fashion design|ja-wiki lead: 「武藤 静香（むとう しずか、1987年（昭和62年）2月4日 - ）は、日本のギャルファッションモデル、ならびにファッションデザイナー。」 - JP gyaru fashion model and fashion designer; DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%AD%A6%E8%97%A4%E9%9D%99%E9%A6%99
Q11547413|Barby Higa|1985-07-24|PROMOTE|Modeling/TV|ja-wiki lead: 「比嘉 バーバラ（ひが ばーばら、1985年7月24日 - ）は、ペルー生まれ、日本出身の女性ファッションモデル、タレント。」 - Peru-raised JP fashion model and tarento (formerly Amuse); lead gives the full name 比嘉バーバラ Barbara Higa, stage name Barby (name alias noted); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%AF%94%E5%98%89%E3%83%90%E3%83%BC%E3%83%93%E3%82%A3
Q11547473|Yu Hirukawa|1986-02-05|PROMOTE|Modeling|ja-wiki lead: 「比留川 游（ひるかわ ゆう、1986年2月5日 - ）は、日本の女性ファッションモデル。」 - JP fashion model (Yokohama); DOB matches Wikidata|https://ja.wikipedia.org/wiki/%E6%AF%94%E7%95%99%E5%B7%9D%E6%B8%B8
